GHG,Site_EUI
290.2,73.7
76.4,51.3
145.5,44.9
304.6,91.3
167.9,76.3
554.6,76.2
503.9,74.2
338.9,78.8
233.4,71.7
305.7,77.2
369.2,61.9
589.8,78.8
513.3,70.5
83.6,123.2
123.8,97.7
337.5,114.0
204.1,72.4
145.1,91.9
197.0,152.0
451.9,120.5
93.9,88.4
271.8,84.6
173.4,98.1
184.9,85.8
253.6,105.9
482.1,70.2
114.6,41.1
79.8,93.6
345.4,123.8
333.9,62.9
108.6,80.2
139.3,49.9
299.9,95.8
58.4,35.8
134.6,64.2
498.4,71.1
312.0,76.1
221.1,110.5
137.5,48.9
177.4,84.0
104.3,41.0
221.7,20.2
293.4,94.0
237.5,76.5
326.3,68.5
102.3,73.8
315.3,65.8
402.1,35.0
483.0,86.7
125.3,81.4
348.5,68.5
294.6,66.0
261.0,56.0
307.1,69.0
78.8,63.6
161.4,60.2
448.3,91.5
532.7,99.0
486.0,174.1
128.4,74.5
251.9,73.3
133.1,61.8
180.3,54.7
216.4,90.9
533.5,149.0
221.3,63.5
277.4,71.4
139.3,137.2
370.2,80.9
502.8,97.2
190.7,85.5
99.0,59.1
247.3,101.4
212.8,83.9
253.9,84.6
112.1,57.9
113.2,100.9
393.1,86.0
128.2,67.2
375.1,108.9
280.9,112.3
105.3,70.1
87.1,56.9
224.9,59.6
231.4,91.8
174.2,64.0
270.8,67.2
97.2,55.7
207.6,78.8
504.7,86.9
207.9,121.5
266.4,73.9
101.0,66.1
154.1,79.2
264.0,48.2
275.1,75.1
280.2,93.6
160.7,82.6
284.6,75.6
162.2,80.5
165.5,59.2
282.9,48.2
282.9,75.7
287.3,78.1
112.1,88.6
242.6,61.3
179.2,61.0
109.7,73.9
89.2,56.3
234.9,90.1
363.7,56.7
245.8,75.1
325.7,89.3
78.3,71.9
350.7,157.2
296.5,92.9
282.1,108.7
453.1,121.7
94.8,28.1
287.0,114.6
236.2,85.0
145.9,81.8
177.0,82.5
480.9,95.8
577.1,61.7
190.3,102.1
311.3,82.1
307.4,64.2
60.0,50.8
526.2,63.7
336.9,98.2
91.8,51.8
204.7,81.1
117.2,54.8
192.0,57.7
320.0,102.7
200.5,96.7
599.0,114.4
257.6,62.4
304.8,127.9
333.2,81.3
69.6,80.7
269.8,81.0
187.2,83.3
298.6,96.1
578.5,95.2
144.5,94.9
543.2,111.6
298.2,64.8
584.1,81.0
118.8,57.4
169.7,78.6
240.5,68.7
177.2,68.3
503.0,78.2
149.5,76.6
93.6,61.9
273.3,96.4
400.8,128.0
341.0,67.1
145.1,43.2
351.9,96.8
254.6,63.6
322.5,51.8
186.8,97.4
238.7,115.1
91.5,67.1
336.5,70.5
366.7,102.2
170.3,95.4
370.6,84.3
278.1,76.4
177.1,68.1
522.2,80.8
170.6,97.3
192.9,76.3
448.9,98.2
336.5,97.0
92.2,49.3
224.9,50.1
135.3,50.5
141.5,41.4
503.3,68.0
151.0,67.0
598.3,160.2
151.3,66.5
138.0,67.3
156.3,50.1
318.2,96.0
112.3,56.0
180.5,56.2
112.9,55.0
322.2,94.7
61.1,47.6
277.1,79.6
157.8,39.7
220.5,84.0
180.9,138.7
145.5,60.9
93.9,75.0
335.7,68.7
115.9,48.7
360.1,58.4
267.5,69.3
323.6,86.8
311.0,83.4
139.5,77.4
324.0,100.1
127.2,89.1
184.2,93.5
201.7,79.8
406.2,78.9
373.7,69.1
64.1,36.0
181.3,77.1
224.5,91.8
350.7,101.4
307.0,88.5
282.5,77.1
268.3,95.6
136.1,79.5
502.5,85.5
438.8,102.4
82.8,71.9
59.7,24.7
203.9,36.2
229.9,83.8
251.3,124.9
518.2,103.9
500.7,84.2
288.2,56.9
578.6,87.2
154.3,52.2
218.0,114.7
178.6,101.3
482.4,109.4
242.4,108.1
118.3,32.8
563.5,74.9
355.0,67.5
107.7,39.7
336.3,82.1
358.8,95.7
223.3,63.8
183.7,82.1
320.7,70.7
241.8,64.1
371.5,181.5
314.2,77.6
595.7,98.9
200.4,80.1
328.2,68.8
271.3,143.7
118.3,84.4
386.0,136.8
262.9,96.6
329.2,40.6
135.6,58.6
503.6,93.5
361.6,78.7
162.3,73.8
264.6,62.2
428.7,82.8
346.2,71.9
271.2,71.1
269.8,92.1
359.7,66.6
196.7,105.5
569.8,59.8
247.8,51.1
335.0,56.5
182.1,77.8
415.1,112.9
189.5,87.3
490.3,93.0
150.1,55.2
390.3,86.3
81.1,39.0
272.1,109.5
292.2,83.2
478.7,74.6
73.0,37.1
228.3,89.3
380.3,90.1
337.8,97.4
480.1,109.7
596.8,125.2
190.5,54.7
331.2,56.8
331.8,71.4
434.2,113.4
69.8,44.9
566.8,99.9
592.2,75.4
303.6,92.1
130.2,113.3
219.1,68.0
154.1,97.5
254.3,73.3
181.9,71.1
84.9,53.8
546.7,98.6
173.2,82.8
316.5,73.1
210.9,76.9
233.7,113.0
439.4,122.4
377.8,63.4
134.7,70.1
171.5,78.5
229.1,96.4
394.3,145.1
135.2,57.0
114.0,43.3
197.4,53.8
187.4,73.2
396.3,76.8
150.1,85.7
385.2,87.2
289.3,62.9
397.2,85.6
310.4,110.4
234.7,64.4
197.0,67.0
258.1,76.9
182.0,54.4
121.2,67.3
211.7,125.4
66.2,62.0
86.6,73.3
200.4,68.6
70.3,33.1
210.9,49.4
365.5,56.5
185.7,154.6
72.3,65.2
133.7,69.8
213.1,153.6
162.9,54.9
139.7,69.8
175.8,67.0
101.8,62.4
306.5,101.4
82.9,56.0
249.0,92.1
144.7,61.7
355.4,57.4
407.8,99.3
236.8,93.8
536.3,73.0
309.8,110.3
149.0,60.8
268.9,57.7
117.7,110.4
202.5,81.9
278.9,82.1
475.1,102.5
249.8,80.0
408.7,59.8
291.8,120.6
156.7,75.1
179.0,58.0
531.3,67.3
231.1,77.9
170.7,80.1
283.4,77.5
165.8,81.0
256.8,14.6
158.5,72.7
417.1,112.2
368.9,75.5
409.9,147.2
514.5,65.0
279.4,68.8
279.9,93.7
99.5,57.3
212.3,70.8
111.6,86.7
166.7,59.7
396.4,89.3
167.3,46.0
589.0,112.3
231.8,83.2
169.9,115.3
306.8,106.2
349.3,74.1
231.9,68.1
263.3,80.8
245.8,71.5
209.8,75.5
350.8,88.5
114.3,34.0
425.1,87.8
317.4,38.6
227.4,58.2
149.7,113.7
256.2,96.1
530.8,72.1
164.5,52.5
273.5,66.7
476.2,62.0
174.9,55.9
226.7,86.4
331.0,88.2
320.5,57.3
213.0,86.7
208.4,77.7
504.6,65.9
466.3,186.0
246.3,85.9
260.6,81.2
325.6,89.8
113.5,61.5
73.7,63.2
106.0,68.2
77.6,37.3
312.4,68.0
271.0,75.1
220.4,66.3
212.2,62.9
235.6,48.5
86.5,75.9
217.2,75.8
536.7,125.9
215.9,71.2
155.9,86.7
93.4,85.1
287.5,64.2
122.0,52.7
165.4,59.3
121.0,46.1
523.9,88.0
517.7,86.2
178.9,76.3
184.8,59.7
437.7,129.8
204.8,61.3
139.8,67.3
168.8,57.9
146.0,49.6
312.3,64.1
400.3,100.2
175.7,59.9
430.1,62.7
125.4,62.8
148.9,43.1
359.6,79.8
160.8,75.2
251.0,79.0
223.4,85.6
376.8,105.0
120.6,54.7
78.3,56.7
229.6,72.5
221.9,90.0
139.5,72.5
118.1,78.9
258.0,78.2
132.1,58.8
159.5,52.1
158.2,47.1
121.9,55.1
168.4,48.8
246.0,105.1
345.0,77.5
205.8,72.7
440.5,63.0
583.7,61.5
306.8,92.1
526.5,107.2
340.3,51.1
271.8,67.2
88.8,71.2
432.6,121.1
289.3,78.1
302.6,73.0
88.0,34.1
296.3,88.5
330.3,117.0
121.2,60.3
201.0,86.2
387.3,101.6
114.1,60.3
311.3,76.4
59.1,34.9
400.0,68.1
399.4,75.6
425.4,159.6
250.1,78.8
276.2,93.2
153.7,82.9
282.0,96.5
412.0,91.7
385.6,78.3
96.8,8.6
66.7,65.1
240.0,66.3
526.1,84.1
154.1,63.5
324.9,56.8
376.3,84.3
133.4,48.8
211.2,71.1
103.0,98.8
312.4,81.1
213.6,76.3
441.2,60.8
532.1,93.3
463.9,64.9
346.0,88.6
224.5,114.0
348.8,70.8
539.0,72.8
593.6,89.8
368.9,141.1
68.2,31.3
505.0,58.5
264.2,70.1
466.1,92.8
276.7,77.6
311.4,81.8
276.5,52.4
337.5,70.1
444.4,77.6
252.2,68.8
481.3,85.2
479.7,103.6
136.3,66.2
386.8,62.3
319.9,74.0
308.1,110.5
263.2,103.8
254.1,95.5
499.4,96.7
360.8,58.0
144.3,52.0
483.8,84.7
329.8,62.5
134.1,55.3
315.7,72.0
210.3,35.2
544.6,105.8
572.9,95.6
326.4,54.1
340.6,77.2
348.3,120.5
61.2,64.9
275.8,113.6
301.9,62.9
180.8,79.6
262.5,67.3
248.0,127.3
316.9,92.3
529.5,126.3
230.3,78.8
519.2,70.8
379.6,83.1
386.7,82.8
481.9,74.5
216.9,56.1
295.8,70.5
291.5,73.4
351.7,68.8
217.6,78.0
291.9,64.9
337.1,62.0
192.9,128.6
276.0,119.0
401.2,79.8
547.8,89.0
189.1,78.9
182.0,52.2
331.9,117.6
119.8,36.2
423.4,69.2
211.8,52.6
355.1,78.2
585.9,73.3
457.8,85.0
429.3,89.4
510.6,100.7
113.0,45.0
228.7,105.2
530.6,79.6
396.3,90.5
371.1,87.4
87.3,43.1
54.7,105.3
156.4,63.2
498.7,90.0
150.4,75.5
239.7,58.3
139.3,90.1
107.0,40.3
226.6,69.6
312.2,77.8
224.6,67.3
231.8,61.9
150.3,55.9
399.4,82.4
184.8,59.3
540.2,70.9
170.6,78.2
163.0,50.0
52.6,31.8
327.5,55.0
63.9,42.1
314.0,122.0
103.3,98.1
238.4,99.1
140.9,68.5
91.0,101.9
63.8,104.4
352.0,123.8
409.2,60.9
524.8,73.1
477.6,78.2
204.0,94.0
304.6,59.7
375.6,76.9
301.5,81.0
531.4,145.1
353.5,136.0
63.2,19.6
374.2,63.4
266.2,92.1
250.6,61.1
378.5,129.6
428.7,81.0
256.4,69.3
265.7,93.6
272.5,50.6
241.2,62.2
436.2,121.7
254.7,88.4
582.5,73.9
443.2,110.8
71.7,86.1
594.0,117.5
504.8,98.0
288.0,73.5
321.6,81.2
200.8,103.3
442.6,78.1
583.5,72.9
264.8,108.5
565.9,97.8
154.6,85.2
265.4,75.3
311.8,108.1
182.1,112.7
176.7,56.8
58.9,118.7
341.8,74.6
160.9,63.8
261.4,80.0
325.0,90.9
113.0,39.1
426.1,141.8
374.7,94.3
165.2,60.0
311.9,97.5
595.0,54.2
178.7,130.3
295.6,80.3
235.7,94.4
249.8,70.1
203.2,65.9
342.5,50.0
526.9,96.1
103.2,72.8
359.1,133.0
446.7,79.4
212.1,53.1
75.8,61.0
548.5,100.3
217.7,66.4
534.2,65.3
246.7,66.2
487.8,65.5
250.9,84.7
114.2,65.3
120.2,62.1
229.3,75.5
130.6,57.4
68.5,52.6
242.1,80.2
462.7,81.1
157.9,63.2
524.2,132.4
137.1,4.3
154.7,109.5
566.3,72.4
90.1,33.1
201.2,170.9
472.0,52.1
189.0,111.2
154.4,31.8
189.5,34.9
455.2,111.8
343.1,65.2
281.6,62.2
126.0,41.0
271.3,67.4
343.8,75.3
120.4,61.8
295.3,73.0
222.2,66.7
565.4,79.6
497.2,76.9
514.7,67.6
299.9,81.6
266.4,76.9
253.5,78.6
364.1,85.5
561.9,82.1
470.6,84.4
405.1,71.0
190.7,79.6
441.6,88.4
550.5,96.3
494.9,110.8
103.4,62.0
388.4,84.0
335.4,60.3
360.6,49.7
228.5,65.2
383.5,58.5
265.4,53.9
347.9,89.0
446.1,79.0
570.5,113.4
202.6,74.1
419.7,131.5
493.7,136.1
189.6,81.3
256.5,88.6
498.8,74.0
495.2,66.9
345.7,77.3
228.1,64.9
222.4,109.1
207.1,87.6
343.3,94.5
220.4,105.6
110.0,70.2
478.2,67.5
320.6,76.1
478.2,69.5
337.1,85.0
506.4,88.1
325.8,91.1
328.1,76.4
173.8,75.9
460.0,97.6
279.8,78.0
282.6,64.9
330.7,66.7
177.8,63.0
529.8,76.2
257.8,96.2
61.1,93.9
599.1,88.4
232.8,64.2
224.8,125.7
66.8,69.1
64.7,64.5
62.8,76.1
100.1,69.7
61.6,66.0
526.2,86.0
510.2,85.6
307.9,74.5
260.9,70.3
505.7,53.1
332.8,86.1
432.2,89.2
500.6,79.4
201.8,104.6
357.2,110.3
360.3,76.4
493.5,61.9
235.3,37.4
428.2,72.1
379.4,71.4
261.8,66.1
351.7,111.5
70.1,28.6
271.1,88.1
551.4,61.8
555.1,92.4
134.2,58.4
556.5,64.4
327.0,74.5
517.3,77.1
268.2,70.6
229.5,90.0
296.1,71.7
68.2,61.6
59.7,69.4
52.7,63.6
78.8,72.4
240.4,47.0
270.9,62.0
397.7,66.0
143.2,59.8
423.2,45.1
316.1,68.8
369.3,45.5
419.7,69.9
360.6,72.9
274.3,73.9
477.0,49.0
419.2,81.5
520.4,75.7
170.3,63.8
401.2,55.3
348.4,65.7
268.8,69.8
258.6,68.3
416.2,99.8
335.8,70.9
205.5,54.4
193.9,60.5
266.8,79.2
425.9,67.4
507.3,53.9
206.9,76.8
532.1,96.8
293.7,56.6
312.1,65.2
